Local time,Open,High,Low,Close,Volume
16.12.2019 14:00:00.000 GMT-0800,6817,6877,6520,6558,438.3546
17.12.2019 14:00:00.000 GMT-0800,6558,7165,6379,7075,694.8688000000001
18.12.2019 14:00:00.000 GMT-0800,7075,7386,6989,7099,558.5252999999999
19.12.2019 14:00:00.000 GMT-0800,7096,7159,7023,7152,259.8393
20.12.2019 14:00:00.000 GMT-0800,7152,7152,7152,7152,0
21.12.2019 14:00:00.000 GMT-0800,7362,7365,7329,7349,0.0538
22.12.2019 14:00:00.000 GMT-0800,7350,7631,7236,7260,271.6235
23.12.2019 14:00:00.000 GMT-0800,7259,7368,7103,7189,588.5238
24.12.2019 14:00:00.000 GMT-0800,7189,7190,7145,7152,0.16799999999999998
25.12.2019 14:00:00.000 GMT-0800,7150,7370,7111,7132,413.18300000000005
26.12.2019 14:00:00.000 GMT-0800,7130,7195,7006,7155,273.771
27.12.2019 14:00:00.000 GMT-0800,7155,7155,7155,7155,0
28.12.2019 14:00:00.000 GMT-0800,7334,7340,7300,7332,0.1004
29.12.2019 14:00:00.000 GMT-0800,7332,7366,7146,7186,313.26640000000003
30.12.2019 14:00:00.000 GMT-0800,7186,7242,7059,7101,370.5045999999999
31.12.2019 14:00:00.000 GMT-0800,7101,7165,7101,7158,0.0759
01.01.2020 14:00:00.000 GMT-0800,7157,7157,6850,6902,279.65620000000007
02.01.2020 14:00:00.000 GMT-0800,6901,7342,6803,7253,630.435
03.01.2020 14:00:00.000 GMT-0800,7253,7253,7253,7253,0
04.01.2020 14:00:00.000 GMT-0800,7372,7372,7305,7305,0.0638
05.01.2020 14:00:00.000 GMT-0800,7303,7548,7259,7518,622.8252999999997
06.01.2020 14:00:00.000 GMT-0800,7518,8133,7518,7965,1074.1287
07.01.2020 14:00:00.000 GMT-0800,7964,8406,7817,7949,1097.9723999999999
08.01.2020 14:00:00.000 GMT-0800,7949,8053,7692,7729,978.5586999999999
09.01.2020 14:00:00.000 GMT-0800,7729,8077,7623,8016,853.4101999999999
10.01.2020 14:00:00.000 GMT-0800,8016,8016,8016,8016,0
11.01.2020 14:00:00.000 GMT-0800,8079,8086,8039,8044,0.0545
12.01.2020 14:00:00.000 GMT-0800,8041,8137,7992,8074,324.1281
13.01.2020 14:00:00.000 GMT-0800,8074,8800,8050,8684,1001.5448000000002
14.01.2020 14:00:00.000 GMT-0800,8684,8844,8504,8767,809.2383
15.01.2020 14:00:00.000 GMT-0800,8764,8806,8528,8622,752.8247999999999
16.01.2020 14:00:00.000 GMT-0800,8622,8951,8608,8812,702.3487999999999
17.01.2020 14:00:00.000 GMT-0800,8812,8812,8812,8812,0
18.01.2020 14:00:00.000 GMT-0800,8584,8691,8582,8662,0.1159
19.01.2020 14:00:00.000 GMT-0800,8661,8687,8443,8614,586.2073999999999
20.01.2020 14:00:00.000 GMT-0800,8614,8713,8430,8664,608.7655
21.01.2020 14:00:00.000 GMT-0800,8663,8734,8517,8582,480.95629999999994
22.01.2020 14:00:00.000 GMT-0800,8582,8609,8223,8325,498.25700000000006
23.01.2020 14:00:00.000 GMT-0800,8324,8454,8163,8417,503.66020000000003
24.01.2020 14:00:00.000 GMT-0800,8417,8417,8417,8417,0
25.01.2020 14:00:00.000 GMT-0800,8498,8529,8497,8527,0.0491
